EPISODE	TIME_STEP_TOTAL	REWARD_TOTAL
611	10	10.0
612	10	10.0
613	10	10.0
614	9	9.0
615	9	9.0
616	9	9.0
617	10	10.0
618	10	10.0
619	10	10.0
620	10	10.0
621	9	9.0
622	9	9.0
623	10	10.0
624	9	9.0
625	9	9.0
626	10	10.0
627	8	8.0
628	9	9.0
629	9	9.0
630	10	10.0
631	9	9.0
632	8	8.0
633	9	9.0
634	9	9.0
635	9	9.0
636	10	10.0
637	10	10.0
638	9	9.0
639	9	9.0
640	10	10.0
641	9	9.0
642	11	11.0
643	8	8.0
644	10	10.0
645	10	10.0
646	9	9.0
647	9	9.0
648	9	9.0
649	9	9.0
650	10	10.0
651	8	8.0
652	10	10.0
653	8	8.0
654	11	11.0
655	11	11.0
656	11	11.0
657	10	10.0
658	11	11.0
659	10	10.0
660	11	11.0
661	13	13.0
662	14	14.0
663	10	10.0
664	9	9.0
665	10	10.0
666	9	9.0
667	10	10.0
668	9	9.0
669	10	10.0
670	9	9.0
671	10	10.0
672	10	10.0
673	8	8.0
674	9	9.0
675	9	9.0
676	8	8.0
677	9	9.0
678	9	9.0
679	10	10.0
680	9	9.0
681	10	10.0
682	9	9.0
683	9	9.0
684	10	10.0
685	9	9.0
686	9	9.0
687	9	9.0
688	9	9.0
689	10	10.0
690	10	10.0
691	11	11.0
692	10	10.0
693	9	9.0
694	9	9.0
695	9	9.0
696	10	10.0
697	9	9.0
698	10	10.0
699	10	10.0
700	10	10.0
701	10	10.0
702	10	10.0
703	10	10.0
704	10	10.0
705	9	9.0
706	9	9.0
707	9	9.0
708	10	10.0
709	9	9.0
710	8	8.0
711	8	8.0
712	10	10.0
713	9	9.0
714	9	9.0
715	9	9.0
716	10	10.0
717	10	10.0
718	8	8.0
719	10	10.0
720	11	11.0
721	9	9.0
722	9	9.0
723	10	10.0
724	8	8.0
725	8	8.0
726	9	9.0
727	9	9.0
728	9	9.0
729	8	8.0
730	10	10.0
731	9	9.0
732	10	10.0
733	9	9.0
734	10	10.0
735	10	10.0
736	9	9.0
737	9	9.0
738	10	10.0
739	10	10.0
740	10	10.0
741	9	9.0
742	10	10.0
743	10	10.0
744	9	9.0
745	8	8.0
746	10	10.0
747	9	9.0
748	9	9.0
749	8	8.0
750	10	10.0
751	10	10.0
752	8	8.0
753	9	9.0
754	10	10.0
755	8	8.0
756	9	9.0
757	9	9.0
758	10	10.0
759	9	9.0
760	10	10.0
761	9	9.0
762	10	10.0
763	9	9.0
764	10	10.0
765	10	10.0
766	9	9.0
767	9	9.0
768	10	10.0
769	10	10.0
770	9	9.0
771	9	9.0
772	10	10.0
773	8	8.0
774	9	9.0
775	10	10.0
776	9	9.0
777	10	10.0
778	8	8.0
779	10	10.0
780	10	10.0
781	11	11.0
782	8	8.0
783	8	8.0
784	9	9.0
785	9	9.0
786	10	10.0
787	9	9.0
788	10	10.0
789	9	9.0
790	10	10.0
791	10	10.0
792	10	10.0
793	9	9.0
794	8	8.0
795	10	10.0
796	10	10.0
797	9	9.0
798	10	10.0
799	9	9.0
800	9	9.0
801	10	10.0
802	10	10.0
803	9	9.0
804	10	10.0
805	10	10.0
806	10	10.0
807	10	10.0
808	8	8.0
809	10	10.0
810	10	10.0
811	9	9.0
812	9	9.0
813	8	8.0
814	10	10.0
815	10	10.0
816	9	9.0
817	10	10.0
818	9	9.0
819	9	9.0
820	10	10.0
821	9	9.0
822	10	10.0
823	10	10.0
824	10	10.0
825	9	9.0
826	9	9.0
827	8	8.0
828	9	9.0
829	10	10.0
830	9	9.0
831	9	9.0
832	8	8.0
833	9	9.0
834	10	10.0
835	8	8.0
836	9	9.0
837	9	9.0
838	10	10.0
839	9	9.0
840	10	10.0
841	9	9.0
842	9	9.0
843	9	9.0
844	10	10.0
845	10	10.0
846	10	10.0
847	9	9.0
848	10	10.0
849	8	8.0
850	10	10.0
851	9	9.0
852	10	10.0
853	9	9.0
854	10	10.0
855	8	8.0
856	10	10.0
857	9	9.0
858	9	9.0
859	10	10.0
860	9	9.0
861	10	10.0
862	9	9.0
863	9	9.0
864	10	10.0
865	9	9.0
866	10	10.0
867	9	9.0
868	10	10.0
869	9	9.0
870	9	9.0
871	9	9.0
872	9	9.0
873	8	8.0
874	10	10.0
875	9	9.0
876	10	10.0
877	9	9.0
878	8	8.0
879	9	9.0
880	9	9.0
881	10	10.0
882	10	10.0
883	9	9.0
884	11	11.0
885	10	10.0
886	9	9.0
887	10	10.0
888	8	8.0
889	10	10.0
890	10	10.0
891	10	10.0
892	10	10.0
893	10	10.0
894	8	8.0
895	9	9.0
896	8	8.0
897	9	9.0
898	10	10.0
899	9	9.0
900	11	11.0
901	10	10.0
902	10	10.0
903	9	9.0
904	10	10.0
905	9	9.0
906	9	9.0
907	9	9.0
908	8	8.0
909	9	9.0
910	10	10.0
911	10	10.0
912	8	8.0
913	9	9.0
914	9	9.0
915	10	10.0
916	9	9.0
917	10	10.0
918	9	9.0
919	9	9.0
920	10	10.0
921	9	9.0
922	10	10.0
923	9	9.0
924	10	10.0
925	10	10.0
926	10	10.0
927	10	10.0
928	9	9.0
929	8	8.0
930	9	9.0
931	10	10.0
932	8	8.0
933	10	10.0
934	9	9.0
935	10	10.0
936	9	9.0
937	10	10.0
938	9	9.0
939	9	9.0
940	10	10.0
941	10	10.0
942	8	8.0
943	10	10.0
944	10	10.0
945	10	10.0
946	8	8.0
947	9	9.0
948	9	9.0
949	10	10.0
950	11	11.0
951	9	9.0
952	10	10.0
953	10	10.0
954	9	9.0
955	10	10.0
956	10	10.0
957	9	9.0
958	10	10.0
959	9	9.0
960	9	9.0
961	8	8.0
962	9	9.0
963	10	10.0
964	9	9.0
965	9	9.0
966	9	9.0
967	10	10.0
968	10	10.0
969	9	9.0
970	8	8.0
971	11	11.0
972	8	8.0
973	10	10.0
974	9	9.0
975	10	10.0
976	9	9.0
977	10	10.0
978	10	10.0
979	9	9.0
980	8	8.0
981	10	10.0
982	10	10.0
983	9	9.0
984	9	9.0
985	9	9.0
986	9	9.0
987	9	9.0
988	10	10.0
989	10	10.0
990	9	9.0
991	10	10.0
992	8	8.0
993	9	9.0
994	10	10.0
995	8	8.0
996	9	9.0
997	10	10.0
998	9	9.0
999	9	9.0
1000	10	10.0
1001	9	9.0
1002	10	10.0
1003	9	9.0
1004	9	9.0
1005	9	9.0
1006	9	9.0
1007	9	9.0
1008	9	9.0
1009	10	10.0
1010	8	8.0
1011	9	9.0
1012	10	10.0
1013	9	9.0
1014	10	10.0
1015	8	8.0
1016	10	10.0
1017	10	10.0
1018	8	8.0
1019	9	9.0
1020	9	9.0
1021	9	9.0
1022	10	10.0
1023	10	10.0
1024	9	9.0
1025	10	10.0
1026	8	8.0
1027	10	10.0
1028	9	9.0
1029	10	10.0
1030	10	10.0
1031	9	9.0
1032	9	9.0
1033	8	8.0
1034	9	9.0
1035	10	10.0
1036	8	8.0
1037	8	8.0
1038	9	9.0
1039	10	10.0
1040	9	9.0
1041	10	10.0
1042	10	10.0
1043	11	11.0
1044	9	9.0
1045	10	10.0
1046	10	10.0
1047	9	9.0
1048	9	9.0
1049	10	10.0
1050	9	9.0
1051	10	10.0
1052	10	10.0
1053	10	10.0
1054	10	10.0
1055	10	10.0
1056	10	10.0
1057	9	9.0
1058	8	8.0
1059	10	10.0
1060	11	11.0
1061	9	9.0
1062	9	9.0
1063	10	10.0
1064	10	10.0
1065	9	9.0
1066	9	9.0
1067	10	10.0
1068	9	9.0
1069	11	11.0
1070	11	11.0
1071	9	9.0
1072	9	9.0
1073	9	9.0
1074	11	11.0
1075	8	8.0
1076	8	8.0
1077	9	9.0
1078	8	8.0
1079	10	10.0
1080	10	10.0
1081	10	10.0
1082	10	10.0
1083	9	9.0
1084	8	8.0
1085	10	10.0
1086	10	10.0
1087	10	10.0
1088	10	10.0
1089	10	10.0
1090	9	9.0
1091	9	9.0
1092	10	10.0
1093	9	9.0
1094	9	9.0
1095	10	10.0
1096	9	9.0
1097	9	9.0
1098	9	9.0
1099	11	11.0
1100	11	11.0
1101	10	10.0
1102	10	10.0
1103	10	10.0
1104	10	10.0
1105	10	10.0
1106	10	10.0
1107	10	10.0
1108	9	9.0
1109	9	9.0
1110	9	9.0
1111	10	10.0
1112	9	9.0
1113	9	9.0
1114	9	9.0
1115	9	9.0
1116	8	8.0
1117	9	9.0
1118	9	9.0
1119	11	11.0
1120	9	9.0
1121	9	9.0
1122	10	10.0
1123	10	10.0
1124	9	9.0
1125	10	10.0
1126	10	10.0
1127	10	10.0
1128	9	9.0
1129	11	11.0
1130	10	10.0
1131	9	9.0
1132	9	9.0
1133	9	9.0
1134	10	10.0
1135	9	9.0
1136	9	9.0
1137	10	10.0
1138	9	9.0
1139	9	9.0
1140	9	9.0
1141	9	9.0
1142	9	9.0
1143	10	10.0
1144	10	10.0
1145	9	9.0
1146	10	10.0
1147	9	9.0
1148	10	10.0
1149	9	9.0
1150	10	10.0
1151	8	8.0
1152	9	9.0
1153	8	8.0
1154	10	10.0
1155	9	9.0
1156	9	9.0
1157	8	8.0
1158	9	9.0
1159	10	10.0
1160	9	9.0
1161	9	9.0
1162	9	9.0
1163	8	8.0
1164	9	9.0
1165	11	11.0
1166	8	8.0
1167	9	9.0
1168	8	8.0
1169	10	10.0
1170	9	9.0
1171	10	10.0
1172	10	10.0
1173	9	9.0
1174	10	10.0
